location,isp,speed,images,text,time_tweet,place,location_cleaned,network_type,isp_cleaned,speed_cleaned,speed_unit
REBERO,"['Liquid', 'Telecom']",8.4 mbps,['http://pbs.twimg.com/media/EU6x9RBXsAI2TU1.jpg'],"@kenessajr Location: REBERO
Speed: 8.4 Mbps
ISP:Liquid Telecom https://t.co/o4ZQqgQL7Z",2020-04-06 11:52:09,,rebero,,liquid,8.4, mbps
Kimironko ,['MTN'],12 mbps,['http://pbs.twimg.com/media/EU4-IsoWAAkb-MG.jpg'],"@kenessajr Location:Kimironko 
Speed:12 Mbps
Isp: MTN https://t.co/zotT0eZujQ",2020-04-06 03:25:33,,kimironko,,mtn,12.0, mbps
,,,['http://pbs.twimg.com/media/EU2IDFhXQAEpJZq.jpg'],"@kenessajr Mtn: 10,000 Rwf 
Per month: 30Gbs 
Kanombe, Nyarugunga https://t.co/9aB7eiPpre",2020-04-05 14:11:21,,,,,,
Kanombe,"['@ktRwanda', '4G']",180 kbps,['http://pbs.twimg.com/media/EU2CsrLXgAIvfrU.jpg'],"@kenessajr Location: Kanombe
Speed: 180 Kbps
ISP: @ktRwanda 4G https://t.co/rexT913Dal",2020-04-05 13:46:38,,kanombe,4G,kt,0.18, kbps
Kanombe,,,['http://pbs.twimg.com/media/EU2CncjX0AAgBqw.jpg'],"@kenessajr Location: Kanombe
Speed : 530 Kbps
ISP : @MTNRwanda https://t.co/9ri0MVDD9h",2020-04-05 13:46:16,,kanombe,,,,
Nyamirambo ,"['Mango', 'telecom']",4.7 mbps,['http://pbs.twimg.com/media/EU1QH7iX0AAi4bN.jpg'],"@kenessajr Location: Nyamirambo 
Speed: 4.7 mbps
Isp: Mango telecom https://t.co/7UZEfiNcXt",2020-04-05 10:05:41,,nyamirambo,,mango,4.7, mbps
,['@airtelrw'],,['http://pbs.twimg.com/media/EU1FpbZWAAA8g6M.jpg'],"@kenessajr Location : Remera
Speed : 2.2 Mbps
ISP: @airtelrw https://t.co/Yg1TllQ4ve",2020-04-05 09:19:51,,,,airtel,,
Kimironko,[],2.5 mbps,['http://pbs.twimg.com/media/EU1Dup5WkAAXRpk.jpg'],"@kenessajr Location: Kimironko
Speed: 2.5 Mbps
ISP: @airtelrw

#MyInternetSpeedRw https://t.co/LM0C4prcKi",2020-04-05 09:11:29,,kimironko,,,2.5, mbps
Kanombe,[],7.9 mbps,['http://pbs.twimg.com/media/EU0pEjWXYAQsPF_.jpg'],"@kenessajr Location: Kanombe
Speed: 7.9 Mbps
ISP: Airtel

#MyInternetSpeedRw https://t.co/tzcUdOuaqO",2020-04-05 07:15:02,,kanombe,,,7.9, mbps
,['MTN(3G)'],,['http://pbs.twimg.com/media/EU0KDBDWoAAeGYV.jpg'],"@kenessajr Remera
ISP:MTN(3G) https://t.co/vzCMVPiObR",2020-04-05 04:59:30,,,3G,mtn,,
Muhanga,['Mango'],,['http://pbs.twimg.com/media/EU0DbsYWAAAZEiv.jpg'],"@kenessajr Location: Muhanga
ISP: Mango https://t.co/N9MMZtSjUF",2020-04-05 04:30:36,,muhanga,,mango,,
,"['Axiom', 'Networks']",,['http://pbs.twimg.com/media/EUz1tgPXsAAwL5w.jpg'],"@kenessajr Location : Gisozi
ISP: Axiom Networks https://t.co/We8350ns8F",2020-04-05 03:30:39,,,,axiom,,
Sonatube,,3 mbps,['http://pbs.twimg.com/media/EUzvGqNXsAUI_o9.jpg'],"@kenessajr Location: Sonatube
Int speed: 3 Mbps
Provider: MTN https://t.co/5o8uM7Doj0",2020-04-05 03:01:46,,sonatube,,,3.0, mbps
,,,['http://pbs.twimg.com/media/EUzSz9YXYAMs8SW.jpg'],"@kenessajr Nyamirambo
Airtel / 3G https://t.co/ALEhPBTzpL",2020-04-05 00:58:10,,,,,,
,['MTN'],1.2 mbps,['http://pbs.twimg.com/media/EUxfgDvWkAAwKLc.jpg'],"@kenessajr Kimironko kwa Mushimire 
Speed: 1.2 Mbps 
ISP: MTN https://t.co/alC9CLxOVQ",2020-04-04 16:34:22,,,,mtn,1.2, mbps
Karuruma,['@FastnetISP_RW'],,['http://pbs.twimg.com/media/EUxKnstWsAAqOK9.jpg'],"@kenessajr Location: Karuruma
ISP: @FastnetISP_RW https://t.co/nMSFHtUMSJ",2020-04-04 15:03:07,,karuruma,,fastnet,,
kiyovu ISP: MTN https://t.co/J2uVI5muur,['MTN'],,['http://pbs.twimg.com/media/EUxG4xOWkAAJtfc.jpg'],@kenessajr Location:kiyovu ISP: MTN https://t.co/J2uVI5muur,2020-04-04 14:46:49,,kiyovu,,mtn,,
Karuruma,"['MTN', '(4G)']",,['http://pbs.twimg.com/media/EUxEyzVXgAADhSr.jpg'],"@kenessajr Location: Karuruma
ISP: MTN (4G) https://t.co/icnNCSWOT9",2020-04-04 14:37:43,,karuruma,4G,mtn,,
Rubavu.                                       ISP: tnsp                                                         Network:4g https://t.co/dSTSnQ8Tg1,"['tnsp', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Network:4g']",,['http://pbs.twimg.com/media/EUxAYmDXgAA33xl.jpg'],@kenessajr Location: Rubavu.                                       ISP: tnsp                                                         Network:4g https://t.co/dSTSnQ8Tg1,2020-04-04 14:18:35,,rubavu.,4g,tnsp,,
Kicukiro ,,3.2mbps,['http://pbs.twimg.com/media/EUw_rw_XkAEUIKQ.jpg'],"@kenessajr Location: Kicukiro 
Speed: 3.2Mbps
ISP : MTN 4G https://t.co/tnSJIf9FQe",2020-04-04 14:15:21,,kicukiro,,,3.2,mbps
,,,['http://pbs.twimg.com/media/EUw4GSNWkAEBRp_.jpg'],@kenessajr does the twitter api have the functionality to fetch someone’s tweet with all its thread replies? too much data to collected and it could be parsed to provide some good analysis,2020-04-04 13:58:04,,,,,,
Kacyiru ,"['Axiom', 'networks']",41 mbps,['http://pbs.twimg.com/media/EUw2VerX0AAXUem.png'],"@kenessajr Location: Kacyiru 
Speed: 41 Mbps
Isp: Axiom networks https://t.co/EJZqej1UVG",2020-04-04 13:42:12,,kacyiru,,axiom,41.0, mbps
Busanza,['Axiom'],9.3 mbps,['http://pbs.twimg.com/media/EUw1fKUXgAE3Ddz.jpg'],"@kenessajr Location: Busanza
Speed: 9.3 Mbps
ISP: Axiom https://t.co/8WVy0dmH8G",2020-04-04 13:34:33,,busanza,,axiom,9.3, mbps
Kacyiru,['Axiom'],,['http://pbs.twimg.com/media/EUw0W4vXYAAztzc.png'],"@kenessajr #MyInternetSpeedRw 
Location: Kacyiru
ISP: Axiom Networks
Subscription:10Mbps

@irastide https://t.co/8PhGMqPJNf",2020-04-04 13:30:46,,kacyiru,,axiom,,
,,,['http://pbs.twimg.com/media/EUwzeqgXsAEMrVX.jpg'],"@kenessajr Location; Kanombe 
Speed; 8.8 Mbps
ISP; Axiom Networks https://t.co/rUDkjcb95O",2020-04-04 13:26:19,,,,,,
"Ruhuha, Bugesera",,,['http://pbs.twimg.com/media/EUwv74dWoAIlYHx.jpg'],"@kenessajr Location: Ruhuha, Bugesera
Provider: MTN 3G https://t.co/BXvCH44lXF",2020-04-04 13:22:02,,ruhuha,,,,
kanombe,['Airtel'],,['http://pbs.twimg.com/media/EUwvWc2X0AAa2Q4.png'],"@kenessajr Location:kanombe
ISP: Airtel https://t.co/PF6OntsanY",2020-04-04 13:06:31,,kanombe,,airtel,,
Kibagabaga,"['Airtel', '(4G)']",600 kbps,['http://pbs.twimg.com/media/EUwvTF4WkAIdsA9.jpg'],"@kenessajr Location: Kibagabaga
Speed: 600 Kbps
ISP: Airtel (4G) https://t.co/x3Kr4bTjgt",2020-04-04 13:04:05,,kibagabaga,4G,airtel,0.6, kbps
,,,['http://pbs.twimg.com/media/EUwsRsjWsAEg05C.jpg'],@kenessajr 😥 https://t.co/U12Qm7Fkiy,2020-04-04 13:03:46,"Place(_api=<tweepy.api.API object at 0x1122451d0>, id='84f644e036f3dcb0', url='https://api.twitter.com/1.1/geo/id/84f644e036f3dcb0.json', place_type='country', name='Rwanda', full_name='Rwanda', country_code='RW', country='Rwanda', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x1122451d0>, type='Polygon', coordinates=[[[28.8617568, -2.8387274], [30.8993559, -2.8387274], [30.8993559, -1.0474785], [28.8617568, -1.0474785]]]), attributes={})",,,,,
Remera,"['Mango', '', '(4G)']",160 mbps,['http://pbs.twimg.com/media/EUwpAVCWoAMLWF0.jpg'],"@kenessajr Location: Remera
Speed: 160 Mbps
ISP: Mango  (4G) https://t.co/MIWn7qITCk",2020-04-04 12:50:34,,remera,4G,mango,160.0, mbps
Nyamirambo,"['MTN', '4G']",1.1mbps,['http://pbs.twimg.com/media/EUwjjL4WAAIvtw2.jpg'],"@kenessajr Location:Nyamirambo
Speed:1.1Mbps
ISP:MTN 4G https://t.co/WyBW4NAX4n",2020-04-04 12:36:34,,nyamirambo,4G,mtn,1.1,mbps
Rwamagana,"['KT', 'Rwanda', 'Networks']",,['http://pbs.twimg.com/media/EUwh65NWoAIpm4S.jpg'],"@kenessajr Location: Rwamagana
ISP: KT Rwanda Networks https://t.co/KX5TibD0du",2020-04-04 12:12:29,,rwamagana,,kt,,
Kimironko ,,290 kbps,['http://pbs.twimg.com/media/EUwh8WSX0AEQBOe.jpg'],"@kenessajr Location: Kimironko 
Speed: 290 Kbps
Network: 4G https://t.co/s2AYWb4wHc",2020-04-04 12:05:30,,kimironko,,,0.29, kbps
,,,['http://pbs.twimg.com/media/EUwhCknXYAcR3KD.jpg'],"@kenessajr Kagarama, Kicukiro
Airtel https://t.co/wbhcfk1fbu",2020-04-04 12:05:26,,,,,,
Kicukiro,['Fastnet'],4.4 mbps,['http://pbs.twimg.com/media/EUwgCzHWkAEyAjK.jpg'],"@kenessajr Location: Kicukiro
Speed: 4.4 Mbps
ISP: Fastnet https://t.co/PUWdpILUnD",2020-04-04 12:01:28,,kicukiro,,fastnet,4.4, mbps
,,,['http://pbs.twimg.com/media/EUwf7eqWAAEyrco.jpg'],"@kenessajr Kimironko
MTN 4G https://t.co/knhN9KecX3",2020-04-04 11:57:06,,,,,,
,,,['http://pbs.twimg.com/media/EUwd1K2WoAAZ5sF.jpg'],@kenessajr @airtelrw Niboye kukagari https://t.co/l2lmf0hFod,2020-04-04 11:56:39,,,,,,
Lower Kiyovu ,"['BK', 'Techouse']",4.3mbps,['http://pbs.twimg.com/media/EUwb4LGXQAIwcEb.jpg'],"@kenessajr Location: Lower Kiyovu 
Speed:4.3Mbps
ISP: BK Techouse https://t.co/R5VjQJeimk",2020-04-04 11:47:26,,lower,,bk,4.3,mbps
kicukiro ,['@MTNRwanda'],2.8mbps,['http://pbs.twimg.com/media/EUwbbnAXsAENDzj.jpg'],"@kenessajr Location: kicukiro 
Speed: 2.8Mbps
ISP: @MTNRwanda https://t.co/CB8YLZi9ID",2020-04-04 11:38:53,,kicukiro,,mtn,2.8,mbps
,,,['http://pbs.twimg.com/media/EUwYxuNWAAAiZDY.jpg'],"@kenessajr MTN unlimited 4G
Kimironko
17Mbps is good actually
Keep it up @MTNRwanda https://t.co/STBMUP5YzT",2020-04-04 11:36:58,,,,,,
,,,['http://pbs.twimg.com/media/EUwVavWXkAEaIWg.jpg'],"@kenessajr Gikondo 

ISP : MTNRwanda 3G
Internet Irekure/Weekly https://t.co/vLvGeyghKu",2020-04-04 11:25:20,,,,,,
,,,['http://pbs.twimg.com/media/EUwSZlBWAAE-dsO.jpg'],"@kenessajr Kibagabaga
Liquid Internet https://t.co/yxKF9PDnAA",2020-04-04 11:10:41,,,,,,
,,,['http://pbs.twimg.com/media/EUwRV4kXYAA2PG9.jpg'],"@kenessajr Where: Gikondo
Which: @airtelrw 
How fast: 7.1Mbps https://t.co/ATPhpvRTHn",2020-04-04 10:57:35,,,,,,
Musanze (tetagouche) ,['@airtelrw'],11mbps,['http://pbs.twimg.com/media/EUwQCP2XgAEPwXQ.jpg'],"@kenessajr Location: Musanze (tetagouche) 
Speed: 11Mbps
ISP: @airtelrw https://t.co/2eO7bOypcs",2020-04-04 10:52:52,,musanze,,airtel,11.0,mbps
Kicukiro/ Kagarama,"['MTN', '4G']",2.9 mbps,['http://pbs.twimg.com/media/EUwK87bWAAEsWFt.jpg'],"@kenessajr Location: Kicukiro/ Kagarama
Speed: 2.9 mbps
ISP: MTN 4G https://t.co/z1oH3h1nLe",2020-04-04 10:47:10,,kicukiro,4G,mtn,2.9, mbps
,,,['http://pbs.twimg.com/media/EUwHc2aXgAAESGg.jpg'],"@kenessajr Location : Kabeza 
Speed : 1.7 Mbps
ISP : Mango https://t.co/Dy03gcYuQv",2020-04-04 10:24:56,,,,,,
Nyarutarama ( next to BAHO Hospital ),['@airtelrw'],"12, 13 mbps https://t.co/stgntsyaqs",['http://pbs.twimg.com/media/EUwGzwbWAAEpyCY.jpg'],"@kenessajr Location: Nyarutarama ( next to BAHO Hospital )
ISP: @airtelrw 3G
Speed: 12, 13 Mbps https://t.co/STGNtSyAQS",2020-04-04 10:09:40,,nyarutarama,,airtel,12.0, mbps
Remera -Nyabisindu,,3.3mbps,['http://pbs.twimg.com/media/EUwAOuoWoAAgsBT.jpg'],"@kenessajr Location: Remera -Nyabisindu
Speed: 3.3Mbps
ISP : MTN (3G)

#MyInternetSpeedRw https://t.co/sGozeVdaym",2020-04-04 10:06:55,,remera,,,3.3,mbps
Kicukiro Kagarama,,,['http://pbs.twimg.com/media/EUvzA03XkAEofcw.jpg'],"@kenessajr Location: Kicukiro Kagarama
Network: MTN 3G Unlimited
Speed : 81kbps 

unable to do anything with this @MTNRwanda https://t.co/BSZYq87iiJ",2020-04-04 09:38:11,,kicukiro,,,,
Gisozi,['MTN'],4.9 mbps,['http://pbs.twimg.com/media/EUvq_IIXgAE10OH.jpg'],"@kenessajr Location: Gisozi
Speed: 4.9 Mbps
ISP: MTN https://t.co/5avJVqIU94",2020-04-04 08:40:24,,gisozi,,mtn,4.9, mbps
Rwamagana District                                                     Speed    : 5.8 Mbps                                         ISP          : 3G @MTNRwanda https://t.co/G96JriFORT,,,['http://pbs.twimg.com/media/EUvqPKhXgAE857i.jpg'],@kenessajr Location: Rwamagana District                                                     Speed    : 5.8 Mbps                                         ISP          : 3G @MTNRwanda https://t.co/G96JriFORT,2020-04-04 08:05:18,,rwamagana,,,,
Gikondo,['@MTNRwanda'],3.4mbps(3g),['http://pbs.twimg.com/media/EUvlEHsXgAIuCxm.jpg'],"@kenessajr Location:Gikondo
ISP:@MTNRwanda 
Speed:3.4Mbps(3G)
Package:7G 5000fr/month irekure

#MyInternetSpeedRW https://t.co/nlzlUDiymJ",2020-04-04 08:02:02,,gikondo,,mtn,3.4,mbps
kabeza kumucyo,['Airtel'],8.6mbps,['http://pbs.twimg.com/media/EUvd9ceWAAAZFvj.jpg'],"@kenessajr Location: kabeza kumucyo
Speed: 8.6Mbps
ISP: Airtel https://t.co/Cs8HZmmG3V",2020-04-04 07:39:27,,kabeza,,airtel,8.6,mbps
Kacyiru ,"['Airtel', '3G']",2.5mbps,['http://pbs.twimg.com/media/EUvc_zjWAAE18HW.jpg'],"@kenessajr Location: Kacyiru 
Speed: 2.5Mbps
ISP: Airtel 3G https://t.co/LofGRdmEvm",2020-04-04 07:08:23,,kacyiru,3G,airtel,2.5,mbps
,,,['http://pbs.twimg.com/media/EUvZvekXYAAB7mZ.jpg'],"@kenessajr Kacyiru
Airtel https://t.co/JUuNJ2bPPT",2020-04-04 07:04:11,,,,,,
,,,['http://pbs.twimg.com/media/EUvS_gSXgAAMDtT.jpg'],"@kenessajr Kibagabaga 
Liquid https://t.co/GcWXBfuuyg",2020-04-04 06:49:57,,,,,,
"Kicukiro Ngoma,  ",['MTN'],490kbps https://t.co/phvvzsjpr8,['http://pbs.twimg.com/media/EUu5JyFWsAIJuvz.jpg'],"@kenessajr Location: Kicukiro Ngoma,  
ISP:MTN 3G
Speed: 490kbps https://t.co/PhVvzsjPr8",2020-04-04 06:20:28,,kicukiro,,mtn,0.49,kbps
Rwinkwavu,['Mango'],,['http://pbs.twimg.com/media/EUu0VALXYAIzy8U.jpg'],"@kenessajr Location:Rwinkwavu
Speed :2.8Mbps
ISP:Mango https://t.co/sdc7ffDY7u",2020-04-04 04:27:34,,rwinkwavu,,mango,,
Gikondo- Nyenyeri,[],6.5 mbps,['http://pbs.twimg.com/media/EUurtk9X0AAiEr1.jpg'],"@kenessajr Location: Gikondo- Nyenyeri
Speed: 6.5 Mbps
ISP: MTN
Time: 6:05AM https://t.co/921VBniMGb",2020-04-04 04:06:31,,gikondo,,,6.5, mbps
Gitega-Nyarugenge,[],80 kbps,['http://pbs.twimg.com/media/EUulnG-WkAYiH0v.jpg'],"@kenessajr Location: Gitega-Nyarugenge
Speed: 80 Kbps
ISP: MTN/4G
I need more clarification about this https://t.co/BsM9QhXXGr",2020-04-04 03:28:50,,gitega,,,0.08, kbps
Biryogo,['Mango/Ktrn'],3.0 mbps(metered) 384 kbps(actual speed),['http://pbs.twimg.com/media/EUukH3lWsAI9lWW.jpg'],"@kenessajr Is there anyone who feel like he is being Throttled or Controled by these guys @MangoRwanda/@ktpressrwanda ????

Location:Biryogo
Internet speed:3.0 Mbps(metered) 384 Kbps(Actual Speed)
ISP:Mango/Ktrn https://t.co/Lrn6H6111f",2020-04-04 03:02:22,,biryogo,,mango,3.0, mbps
Gacuriro,['MTN'],8.2 mps,['http://pbs.twimg.com/media/EUuPoBpXQAAbCoS.jpg'],"@kenessajr Location: Gacuriro
Speed: 8.2 MPs
ISP: MTN https://t.co/YPGF64nLDu",2020-04-04 02:55:43,,gacuriro,,mtn,8.2,[]
Kanombe,['MTN'],,['http://pbs.twimg.com/media/EUuFs3XWoAo8lbJ.jpg'],"@kenessajr Location: Kanombe
Speed : 540kbps 
ISP: MTN 3G🙄.
Abatuye I kanombe, what is y’all’s plug? I need help😫! https://t.co/HOu7pmo4IB",2020-04-04 01:26:08,,kanombe,,mtn,,
,,,['http://pbs.twimg.com/media/EUuCH9mXQAE5rlL.jpg'],@kenessajr @kagced Kami https://t.co/gVGrTsuZqY,2020-04-04 00:42:46,,,,,,
Kibagabaga,[],3.2mps,['http://pbs.twimg.com/media/EUuB1GMXkAcFdD0.jpg'],"@kenessajr Location: Kibagabaga
Speed: 3.2Mps
ISP: Mango4G",2020-04-04 00:34:58,,kibagabaga,,,3.2,[]
Remera,['@airtelrw'],,['http://pbs.twimg.com/media/EUuAkjjXkAMNENR.jpg'],"@kenessajr Location: Remera
ISP: @airtelrw 
Speed : 14 Mbps https://t.co/yX7TxX4c2Z",2020-04-04 00:27:09,,remera,,airtel,,
Kagarama,['MTN'],1.2 mbps,['http://pbs.twimg.com/media/EUt--W5WsAcGTCI.jpg'],"@kenessajr Location: Kagarama
ISP: MTN (3G)
Speed: 1.2 Mbps
#MyInternetSpeedRw https://t.co/NS5crQNigK",2020-04-04 00:25:52,,kagarama,,mtn,1.2, mbps
Kiyovu,['Mango'],3.3 mbps,['http://pbs.twimg.com/media/EUt6qnKWkAUrsR9.jpg'],"@kenessajr Location: Kiyovu
Speed: 3.3 Mbps
ISP: Mango https://t.co/XERrkaEiUF",2020-04-04 00:20:22,,kiyovu,,mango,3.3, mbps
Kanombe,[],,['http://pbs.twimg.com/media/EUt1qazWkAAwlJt.jpg'],"@kenessajr Location: Kanombe
ISP: MTN
Network:3G https://t.co/Saxdo0f67w",2020-04-04 00:13:23,,kanombe,,,,
Kacyiru ,['MTN'],8.0  mbps,['http://pbs.twimg.com/media/EUtt2SwWsAAUVqR.jpg'],"@kenessajr Location: Kacyiru 
Speed: 8.0  Mbps
ISP: MTN https://t.co/7QecKR4HLe",2020-04-03 23:54:34,,kacyiru,,mtn,8.0,  mbps
,,,['http://pbs.twimg.com/media/EUtq2HzXsAEnnTs.jpg'],@kenessajr @4Gsquare can come and correct survey about 4G Network and Locations,2020-04-03 23:33:21,,,,,,
,,,['http://pbs.twimg.com/media/EUtglPjXQAQQxCW.jpg'],@kenessajr https://t.co/8AdxYkuP32,2020-04-03 23:32:41,,,,,,
,,,['http://pbs.twimg.com/media/EUtfNFGXkAAC38J.jpg'],"@kenessajr Nyarugunga 
Airtel 
5.4 kbps 🤭 https://t.co/h3p7WALMDi",2020-04-03 22:58:36,,,,,,
,,,['http://pbs.twimg.com/media/EUtednyXsAUxBTP.jpg'],"@kenessajr Remera
Liquid https://t.co/dei5jz0x0L",2020-04-03 22:45:36,,,,,,
Gisozi,"['MTN', '3G', '@MTNRwanda']",7.5 mbps,['http://pbs.twimg.com/media/EUtbzj-WoBE8ZCN.jpg'],"@kenessajr Location:Gisozi
Speed: 7.5 mbps
ISP: MTN 3G @MTNRwanda https://t.co/l67ZIwZBFz",2020-04-03 22:00:34,,gisozi,3G,mtn,7.5, mbps
,[],,['http://pbs.twimg.com/media/EUtXIclWkAEgxr_.jpg'],"@kenessajr Location : Gikondo kigali
Isp:  Airtel
Time:: 11:53Pm
Router Alcatel . WiFi https://t.co/4difoA19iR",2020-04-03 21:54:34,,,,,,
Kanombe,['MTN'],3.4mbps,['http://pbs.twimg.com/media/EUtVmSgXgAIXC4E.jpg'],"@kenessajr Location: Kanombe
Speed: 3.4Mbps
ISP: MTN https://t.co/tjuFZa5gWR",2020-04-03 21:51:21,,kanombe,,mtn,3.4,mbps
,,,['http://pbs.twimg.com/media/EUtTdK_WkAA3tY9.jpg'],"@kenessajr @MangoRwanda Ndi nyamirambo kuryanyuma, nkoresha 4G ya mango, bamwiye ngo 750kbps , ark mbona igenda gake pe https://t.co/RVHx8hssSL",2020-04-03 21:39:43,,,,,,
,,,['http://pbs.twimg.com/media/EUtSxNOWkAkz2yR.jpg'],"@kenessajr Location : Kagarama 
Speed : 3.9
ISP MTN 3G

Up and down so far... https://t.co/WyuyaL6ypY",2020-04-03 21:19:19,,,,,,
,"['MTN', '(', '3G', ')']",,['http://pbs.twimg.com/media/EUtOhUjXYAED0wY.jpg'],"@kenessajr Kimironko

Speed : fast attempt 210Kbps / 2nd attempt 1.1Mbps

ISP: MTN ( 3G ) https://t.co/YiTUWr9ihx",2020-04-03 21:12:37,,,3G,mtn,,
,,,['http://pbs.twimg.com/media/EUtH5_GX0AgQY8w.png'],"@kenessajr Kibagabaga 
MTN https://t.co/LE3lJEf8PD",2020-04-03 21:03:13,,,,,,
,,,['http://pbs.twimg.com/media/EUs8OLzWAAMVq9e.jpg'],"@kenessajr Location : kimironko
ISP : @CanalboxR https://t.co/cwwPCC32Dw",2020-04-03 21:00:15,,,,,,
Kimironko,"['MTN', '4G']",3.3 mbps,['http://pbs.twimg.com/media/EUs2zRvXsAQfd-i.jpg'],"@kenessajr Location: Kimironko
Speed: 3.3 Mbps
ISP: MTN 4G https://t.co/fRT2VA7JFI",2020-04-03 20:41:44,,kimironko,4G,mtn,3.3, mbps
