location,isp,speed,images,text,time_tweet,place,location_cleaned,network_type,isp_cleaned,speed_cleaned,speed_unit
Kicukiro-Niboye,"['MTN', '3G']",,['http://pbs.twimg.com/media/EUrgSSnU8AcFNA6.jpg'],"@kenessajr Location: Kicukiro-Niboye
ISP: MTN 3G https://t.co/iEbXvjZqJq",2020-04-03 12:58:45,,kicukiro,3G,mtn,,
Kicukiro-Niboye,"['3G', 'Airtel']",,['http://pbs.twimg.com/media/EUre8xmUMAc3V4o.jpg'],"@kenessajr Location: Kicukiro-Niboye
ISP: 3G Airtel https://t.co/zncY9YGyJ4",2020-04-03 12:55:43,,kicukiro,3G,airtel,,
Gisozi,[],2.5 mbps,['http://pbs.twimg.com/media/EUrergSUwAAaaM9.jpg'],"@kenessajr Location: Gisozi
Speed: 2.5 Mbps
ISP: Airtel",2020-04-03 12:54:25,,gisozi,,,2.5, mbps
Kicukiro-Niboye,['Airtel'],4.1mbps,['http://pbs.twimg.com/media/EUrdpK9U0AEDtdz.jpg'],"@kenessajr Location: Kicukiro-Niboye
Speed: 4.1Mbps
ISP: Airtel https://t.co/t751LsSskS",2020-04-03 12:54:17,,kicukiro,,airtel,4.1,mbps
Rusororo,"['@airtelrw', '3G']",,['http://pbs.twimg.com/media/EUrcpGVUcAEGRWJ.jpg'],"@kenessajr Location: Rusororo
Speed 1.3 Mbps
ISP: @airtelrw 3G https://t.co/aAMimZv9Rz",2020-04-03 12:50:00,,rusororo,3G,airtel,,
,,,['http://pbs.twimg.com/media/EUrccr1UMAA2mcF.jpg'],"@kenessajr Kimironko
MTN 3G unlimited https://t.co/pK2CyMX9Nn",2020-04-03 12:43:37,,,,,,
Kimironko,"['Mango', 'Telecom']",,['http://pbs.twimg.com/media/EUrba36UUAAF4B9.jpg'],"@kenessajr @onshimiye Location:Kimironko
ISP: Mango Telecom https://t.co/SMjl6lJeSR",2020-04-03 12:40:03,,kimironko,,mango,,
,"['Liquid', 'Telecom']",13 mbps,['http://pbs.twimg.com/media/EUrbSV8UYAAfPRH.jpg'],"@kenessajr Location : Nyarutarama
Speed: 13 Mbps 
ISP: Liquid Telecom 
Package: 25Mbps fiber unlimited https://t.co/ta2b5eE2Sj",2020-04-03 12:34:14,,,,liquid,13.0, mbps
,['Mango'],2.3 mbps,['http://pbs.twimg.com/media/EUrbPlDUwAAGwjs.jpg'],"@kenessajr Location Gishushu 
Speed: 2.3 Mbps
ISP: Mango https://t.co/mnamPK7uJU",2020-04-03 12:33:04,,,,mango,2.3, mbps
"Gasabo, Rutunga","['MTN', '4G', 'Irekure(Monthly', 'Unlimited)']",3.1 mbps,['http://pbs.twimg.com/media/EUraf69UcAEsJuQ.jpg'],"@kenessajr Location: Gasabo, Rutunga
Speed:3.1 mbps
ISP: MTN 4G Irekure(Monthly Unlimited) https://t.co/tipe438Yet",2020-04-03 12:28:31,,gasabo,4G,mtn,3.1, mbps
Gisozi near Kurwibutso,"['MTN', '3G']",240kbps,['http://pbs.twimg.com/media/EUraFI_U0AEP9Cq.jpg'],"@kenessajr Location: Gisozi near Kurwibutso
Speed: 240Kbps
ISP: MTN 3G https://t.co/aFIG6SjQQR",2020-04-03 12:24:12,,gisozi,3G,mtn,0.24,kbps
,,,['http://pbs.twimg.com/media/EUraDmxUMAAH7i8.jpg'],"@kenessajr Location : Kabeza
ISP : Airtel 
(ark iyi nishira nzajugunya simcard)
Speed : 160kbps https://t.co/FljE7GsrKO",2020-04-03 12:23:18,,,,,,
Kimihurura/Rugando,['MTN'],870 kbps,['http://pbs.twimg.com/media/EUrZmQlVAAA0eb8.jpg'],"@kenessajr Location: Kimihurura/Rugando
Speed: 870 kbps
ISP: MTN https://t.co/bq8L9LqQdY",2020-04-03 12:18:49,,kimihurura,,mtn,0.87, kbps
Ruyenzi,['@MTNRwanda'],1.4mbps,['http://pbs.twimg.com/media/EUrZYXLUcAEdUhL.jpg'],"@kenessajr Location: Ruyenzi
Speed: 1.4Mbps
ISP: @MTNRwanda 
Package: 4G unlimited internet

#MyInternetSpeedRW https://t.co/1kFQFBhon0",2020-04-03 12:18:12,,ruyenzi,,mtn,1.4,mbps
Nyabihu District,"['Mtn', '3G']",3.23; 3.60,['http://pbs.twimg.com/media/EUrVMm-UcAIqpYa.jpg'],"@kenessajr Location: Nyabihu District
Speed:3.23; 3.60
ISP: Mtn 3G https://t.co/c4jvlrOxjz",2020-04-03 12:18:04,,nyabihu,3G,mtn,3.23,[]
,,,['http://pbs.twimg.com/media/EUrUK9TUEAAM3VE.jpg'],"@kenessajr @Ninsiima250 Nyakabanda, MTN3G (screenshot) 
Nyakabanda, MANGO 4G platinum yo iri kuri 100Kbps https://t.co/xIHS0yDt6q",2020-04-03 12:14:48,,,,,,
,,,['http://pbs.twimg.com/media/EUrTYbYU0AIWRWX.png'],"@kenessajr #RwOT 
Location : kimironko
Speed : 700 kps
ISP : Netpro 4G
#MyInternetSpeedRw https://t.co/i6nAn9tUsF",2020-04-03 12:13:10,,,,,,
,,,['http://pbs.twimg.com/media/EUrTFCSVAAct2jG.jpg'],"@kenessajr 1.4 Mbps
Remera
MTN https://t.co/frka4Fgxq4",2020-04-03 12:12:51,,,,,,
,,,['http://pbs.twimg.com/media/EUrSyaAUwAE_j6u.png'],"@kenessajr @gadha Location : Kicukiro (Gikondo)
Internet : MTN 3G
Bundle : 500 RWF (Weekly 800MB) https://t.co/NLzEj8i72q",2020-04-03 12:11:55,,,,,,
Remera,"['Mango', '4G']",1.2mbps,['http://pbs.twimg.com/media/EUrRp1RU4AASELB.jpg'],"@kenessajr Location: Remera
Speed: 1.2Mbps
ISP: Mango 4G https://t.co/HMeLhMyNWq",2020-04-03 12:09:54,,remera,4G,mango,1.2,mbps
Kagarama ,['@mtnrwanda'],,['http://pbs.twimg.com/media/EUrRd2TU0AANsOt.jpg'],"@kenessajr Location: Kagarama 
4G 
ISP: @mtnrwanda https://t.co/NSkDb3Lkq0",2020-04-03 11:51:41,,kagarama,,mtn,,
Kanombe,['MTN'],2.7 mbps,['http://pbs.twimg.com/media/EUrQ5zTU4AA_QTt.jpg'],"@kenessajr I am using two ISP’s

Location: Kanombe

ISP: MTN 3G
Speed: 2.7 Mbps 

ISP: Airtel 3G
Speed: 2.5 Mbps https://t.co/SGmjDdwNYf",2020-04-03 11:47:09,"Place(_api=<tweepy.api.API object at 0x1122451d0>, id='84f644e036f3dcb0', url='https://api.twitter.com/1.1/geo/id/84f644e036f3dcb0.json', place_type='country', name='Rwanda', full_name='Rwanda', country_code='RW', country='Rwanda', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x1122451d0>, type='Polygon', coordinates=[[[28.8617568, -2.8387274], [30.8993559, -2.8387274], [30.8993559, -1.0474785], [28.8617568, -1.0474785]]]), attributes={})",kanombe,,mtn,2.7, mbps
Kimironko,"['Truconnect', '4G']",5.7 mbps,['http://pbs.twimg.com/media/EUrQ3WHUwAIaSqN.jpg'],"@kenessajr @onshimiye Location: Kimironko
Speed: 5.7 Mbps
ISP: Truconnect 4G https://t.co/lGSGBY5nNx",2020-04-03 11:43:40,,kimironko,4G,trueconnect,5.7, mbps
Kisimenti ,"['Airtel', '3G']",,['http://pbs.twimg.com/media/EUrQM_dUcAAKtk-.jpg'],"@kenessajr Location: Kisimenti 
ISP: Airtel 3G https://t.co/TFrKpJJ9Jb",2020-04-03 11:42:22,,kisimenti,3G,airtel,,
Nyamirambo,"['Airtel', '3G']",2.4 mbps,['http://pbs.twimg.com/media/EUrPrZFUcAEq_UZ.jpg'],"@kenessajr Location: Nyamirambo
Speed: 2.4 Mbps
ISP: Airtel 3G https://t.co/IAUV8V5FmW",2020-04-03 11:41:04,,nyamirambo,3G,airtel,2.4, mbps
,"['MTN', '3G']","920kbps , isp: mtn 3g https://t.co/up9blf9hxk",['http://pbs.twimg.com/media/EUrPH1RVAAE3U4c.jpg'],"@kenessajr Location : Bumbogo , speed: 920kbps , ISP: MTN 3G https://t.co/Up9BLf9HxK",2020-04-03 11:36:28,,,3G,mtn,0.92,kbps
,,,['http://pbs.twimg.com/media/EUrOTgZU4AE7vcp.jpg'],"@kenessajr Location : Nyamirambo (Baoba)
Speed : 250 kbps 😏
ISP : @MangoRwanda https://t.co/EgFGp60MhV",2020-04-03 11:35:31,,,,,,
Gisozi,"['airtel', '3G']",1.3 mbps,['http://pbs.twimg.com/media/EUrOEGBUUAMlbrb.jpg'],"@kenessajr Location: Gisozi
Speed: 1.3 mbps
ISP: airtel 3G https://t.co/Wg7kTRUC4X",2020-04-03 11:32:54,,gisozi,3G,airtel,1.3, mbps
,,,['http://pbs.twimg.com/media/EUrNr2aUEAEoowp.jpg'],"@kenessajr Kabeza 
Fastnet 4G
6k bundle https://t.co/9ROvm0Ahik",2020-04-03 11:32:42,,,,,,
,,,['http://pbs.twimg.com/media/EUrNcQ2UUAE3UKf.jpg'],@kenessajr Nyanza https://t.co/ccOHLD1pVq,2020-04-03 11:29:49,,,,,,
Kagarama,"['MTN', '3G']",7.4 mbps,['http://pbs.twimg.com/media/EUrNHpCUUAErakF.jpg'],"@kenessajr Location: Kagarama
Speed: 7.4 Mbps
ISP: MTN 3G https://t.co/jE03hWhFh9",2020-04-03 11:27:30,,kagarama,3G,mtn,7.4, mbps
Sonatubes,['Airtel'],1.2 mbps,['http://pbs.twimg.com/media/EUrNAEdU8AAmqzt.jpg'],"@kenessajr Location: Sonatubes
Speed: 1.2 Mbps
ISP: Airtel https://t.co/1LBAxltYsl",2020-04-03 11:25:38,,sonatubes,,airtel,1.2, mbps
Rubilizi,"['aitell', '3G']",,['http://pbs.twimg.com/media/EUrMnRjUYAA8qEx.jpg'],"@kenessajr location: Rubilizi
isp: aitell 3G https://t.co/nPCV671DKH",2020-04-03 11:21:30,,rubilizi,3G,airtel,,
Kacyiru https://t.co/awou8X6yME,,,['http://pbs.twimg.com/media/EUrLsKNU8AA1dD-.jpg'],"@kenessajr Provider: liquid
Location: Kacyiru https://t.co/awou8X6yME",2020-04-03 11:20:27,,kacyiru,,,,
,[],8.1 mbps,['http://pbs.twimg.com/media/EUrLfclUwAEX2B_.jpg'],"@kenessajr Location : Gikondo
Speed: 8.1 Mbps
ISP: MTN
Network: 3G https://t.co/0tJF6NF78y",2020-04-03 11:18:48,,,,,8.1, mbps
Rusororo,['Axiom'],,['http://pbs.twimg.com/media/EUrLMXvU4AELI8e.jpg'],"@kenessajr Location:Rusororo
ISP:Axiom https://t.co/ogB6WTze9Y",2020-04-03 11:17:44,,rusororo,,axiom,,
,"['Liquid', 'Telecom']",22 mbps,['http://pbs.twimg.com/media/EUrLJoOU8AAkrZ0.jpg'],"@kenessajr Location : Gikondo
Speed: 22 Mbps 
ISP: Liquid Telecom 
Package: 25Mbps fiber unlimited https://t.co/Pj2AYRH6FH",2020-04-03 11:16:19,,,,liquid,22.0, mbps
Nyamata,['MTN'],3.3 mbps,['http://pbs.twimg.com/media/EUrKxSfUEAA3Xqm.png'],"@kenessajr @VictorKagarama Location: Nyamata
Speed:3.3 Mbps
ISP:MTN https://t.co/Dke7kWCyeS",2020-04-03 11:15:49,,nyamata,,mtn,3.3, mbps
,,,['http://pbs.twimg.com/media/EUrK2ehU8AUfZC8.png'],"@kenessajr Location : Gishushu
Speed : 3.3 Mbps
ISP : Mango https://t.co/qEH4ZEhvzn",2020-04-03 11:14:08,,,,,,
Kicukiro/sonatube ,['@airtelrw'],,['http://pbs.twimg.com/media/EUrKR_kUYAAbzlW.jpg'],"@kenessajr Location: Kicukiro/sonatube 
ISP: @airtelrw 3G
Package: 30 GB 10000 RWF/month🤦🏽‍♂️ https://t.co/tKAqArvs5l",2020-04-03 11:10:07,,kicukiro,,airtel,,
Kak City aka Kacyiru,,,['http://pbs.twimg.com/media/EUrKDzRUMAA2jjT.jpg'],"@kenessajr Location: Kak City aka Kacyiru
Network: Airtel
Speed 15Mbps https://t.co/OPclutgp4J",2020-04-03 11:09:14,,kak,,,,
Kicukiro,"['Airtel', '3G']",4.5 mbps,['http://pbs.twimg.com/media/EUrI9ddVAAQTEv0.jpg'],"@kenessajr Location: Kicukiro
Speed: 4.5 Mbps
ISP: Airtel 3G https://t.co/kQDxEGoWKB",2020-04-03 11:07:56,,kicukiro,3G,airtel,4.5, mbps
,"['MTN', 'Rwanda😩']",1.7 mbps (yarivuye kuri 490kbps),['http://pbs.twimg.com/media/EUrIwU-UUAIdwhy.jpg'],"@kenessajr Location now: Kimisagara
Speed: 1.7 Mbps (yarivuye kuri 490kbps)
ISP: MTN Rwanda😩 https://t.co/4lYauvccUA",2020-04-03 11:07:42,,,,mtn,1.7, mbps
,,,['http://pbs.twimg.com/media/EUrIfVxUYAIFXuY.jpg'],@kenessajr I am at Kimironko Nyagatovu.  I am using Airtel data https://t.co/beo6JPS43H,2020-04-03 11:07:15,,,,,,
Kimironko https://t.co/GhENnW2bxJ,['TrueConnect'],,['http://pbs.twimg.com/media/EUrH9pZUMAMcUJf.jpg'],"@kenessajr ISP: TrueConnect 4G
Location: Kimironko https://t.co/GhENnW2bxJ",2020-04-03 11:07:08,,kimironko,,trueconnect,,
Kicukiro (Rebero),"['MTN', '3G']",,['http://pbs.twimg.com/media/EUrIBacUYAAMBlm.jpg'],"@kenessajr Location: Kicukiro (Rebero)
Speed: N/A
ISP: MTN 3G https://t.co/UB6r98VLoJ",2020-04-03 11:03:56,,kicukiro,3G,mtn,,
Rebero,"['Liquid', 'Home']",,['http://pbs.twimg.com/media/EUrH7qrUcAAGUhN.jpg'],"@kenessajr Location: Rebero
ISP: Liquid Home https://t.co/Xo03zelU6y",2020-04-03 11:02:57,,rebero,,liquid,,
Kicukiro ,"['Mtn', '3G']",3.2mbps,['http://pbs.twimg.com/media/EUrHvKbUwAICMYC.jpg'],"@kenessajr Location: Kicukiro 
Speed: 3.2Mbps
ISP: Mtn 3G https://t.co/KDYa960iWO",2020-04-03 10:58:10,"Place(_api=<tweepy.api.API object at 0x1122451d0>, id='07d9d692bcc83000', url='https://api.twitter.com/1.1/geo/id/07d9d692bcc83000.json', place_type='poi', name='mku kicukiro', full_name='mku kicukiro', country_code='RW', country='Rwanda', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x1122451d0>, type='Polygon', coordinates=[[[30.093798371624263, -1.967842976243936], [30.093798371624263, -1.967842976243936], [30.093798371624263, -1.967842976243936], [30.093798371624263, -1.967842976243936]]]), attributes={})",kicukiro,3G,mtn,3.2,mbps
Kicukiro,['Airtel'],1.3 mbps,['http://pbs.twimg.com/media/EUrG2E-U8AAVe2t.jpg'],"@kenessajr Location: Kicukiro
Speed: 1.3 Mbps
ISP: Airtel /3G

#MyInternetSpeedRw https://t.co/V4GaUIsZOe",2020-04-03 10:57:24,,kicukiro,,airtel,1.3, mbps
Nyamirambo/ Nyakabanda     ,"['Mango', 'Telecom']",,['http://pbs.twimg.com/media/EUrGlodUYAAIdFl.jpg'],"@kenessajr Location: Nyamirambo/ Nyakabanda     
ISP: Mango Telecom 
Package: Monthly Unlimited 24000 RWF https://t.co/rLmrb1LL2q",2020-04-03 10:56:14,,nyamirambo,,mango,,
Ruyenzi       ,['@airtelrw'],120 kbps️ 850 kbps⬆️,['http://pbs.twimg.com/media/EUrFoS9UEAAsQsJ.jpg'],"@kenessajr Location: Ruyenzi       
Speed: 120 kbps⬇️ 850 kbps⬆️
ISP: @airtelrw 3G
Package: 30 GB 10000 RWF/month https://t.co/m2EtV4rP6F",2020-04-03 10:54:53,,ruyenzi,,airtel,0.12, kbps
Gisozi,['Airtel'],15mbps,['http://pbs.twimg.com/media/EUrFg4mUwAAJIOl.jpg'],"@kenessajr Location: Gisozi
Speed: 15Mbps
ISP: Airtel https://t.co/xGecwqy1tK",2020-04-03 10:54:19,,gisozi,,airtel,15.0,mbps
Kimironko,"['Airtel', '3G']",1.6mbps,['http://pbs.twimg.com/media/EUrFEJPU4AAo-YB.jpg'],"@kenessajr Location: Kimironko
Speed: 1.6Mbps
ISP: Airtel 3G https://t.co/BzucRFOdzw",2020-04-03 10:53:51,,kimironko,3G,airtel,1.6,mbps
,,,['http://pbs.twimg.com/media/EUrETNfU0AAfHsR.png'],@kenessajr Nyarugenge MTN ‘4G LTE’ https://t.co/6anGmhlqnF,2020-04-03 10:52:48,,,,,,
Gikondo ,"['MTN', 'Rwanda', '(3G)']",3.8 mbps,['http://pbs.twimg.com/media/EUrEJMcU8AAnAqE.jpg'],"@kenessajr Location: Gikondo 
Speed: 3.8 Mbps
ISP: MTN Rwanda (3G) https://t.co/iblu2qFzw2",2020-04-03 10:48:55,,gikondo,3G,mtn,3.8, mbps
Gatsata ,"['Mango', 'Telecom']",1.4 mbps,['http://pbs.twimg.com/media/EUrDoO2UwAEShqY.png'],"@kenessajr Location: Gatsata 
Speed: 1.4 Mbps
ISP: Mango Telecom 

#MyInternetSpeedRw https://t.co/zbGGdiO1N1",2020-04-03 10:47:46,,gatsata,,mango,1.4, mbps
,['MTN'],3.7,['http://pbs.twimg.com/media/EUrDpCHUwAEtUf6.jpg'],"@kenessajr Loc: Nyamirambo
Speed: 3.7 
ISP:MTN https://t.co/2youOT7OlB",2020-04-03 10:43:37,,,,mtn,3.7,[]
Kagarama,[],65kbps,['http://pbs.twimg.com/media/EUrDfprU4AAKiY7.jpg'],"@kenessajr Location: Kagarama
Speed: 65Kbps
ISP: Axiom
Wireless broadband https://t.co/1XL617c9eM",2020-04-03 10:43:28,,kagarama,,,0.065,kbps
Musanze,['Airtel'],,['http://pbs.twimg.com/media/EUrCbssVAAEAGEC.png'],"@kenessajr @kagced Location: Musanze
ISP: Airtel https://t.co/ToHorivMYe",2020-04-03 10:41:09,,musanze,,airtel,,
Kicukiro,['@airtelrw'],6.6 mbps,['http://pbs.twimg.com/media/EUrCBrEUcAADFH_.jpg'],"@kenessajr Location: Kicukiro
Speed:6.6 Mbps
ISP: @airtelrw https://t.co/tGNmi1rm2R",2020-04-03 10:37:48,,kicukiro,,airtel,6.6, mbps
Kimironko ,"['MTN', 'Rwanda']",17 mbps ,['http://pbs.twimg.com/media/EUrBbiWU4AAzP2b.png'],"@kenessajr Location: Kimironko 
Speed: 17 Mbps 😀
ISP: MTN Rwanda https://t.co/ctsXC6AWju",2020-04-03 10:37:14,,kimironko,,mtn,17.0, mbps
Kanombe- Nyarugunga https://t.co/LoQRcsdBs6,,,['http://pbs.twimg.com/media/EUrBwNOUwAAk0kG.jpg'],@kenessajr Location: Kanombe- Nyarugunga https://t.co/LoQRcsdBs6,2020-04-03 10:35:24,,kanombe,,,,
Town,['MTN'],2.8 mbps,['http://pbs.twimg.com/media/EUrBWPNUYAEIPVV.jpg'],"@kenessajr Location:Town
Speed:2.8 Mbps
ISP:MTN https://t.co/SbIUYQEXUN",2020-04-03 10:34:55,,town,,mtn,2.8, mbps
Kacyiru ,['Liquid'],,['http://pbs.twimg.com/media/EUrBTzAU0AEpaEM.jpg'],"@kenessajr Location: Kacyiru 
ISP: Liquid https://t.co/PWqJd6pveX",2020-04-03 10:34:15,,kacyiru,,liquid,,
Gikondo,[],3.9 mbps (),['http://pbs.twimg.com/media/EUrAO0iUMAAPuox.jpg'],"@kenessajr Location: Gikondo
Speed: 3.9 Mbps (🙂)
ISP: Tigo
Network: 3G

#MyInternetSpeedRw https://t.co/0t1iJYMVVY",2020-04-03 10:29:48,,gikondo,,,3.9, mbps
Gisozi | Gacinjiru       ,['@MTNRwanda'],170 kbps ️ 460 kbps ⬆️,['http://pbs.twimg.com/media/EUrASm3U8AEFC1b.jpg'],"@kenessajr Location: Gisozi | Gacinjiru       
Speed: 170 Kbps ⬇️ 460 Kbps ⬆️ 
ISP: @MTNRwanda 4G
Package: Monthly Unlimited 6000 RWF

#MyInternetSpeedRW #RwOT https://t.co/n7zkfRkzO7",2020-04-03 10:27:55,"Place(_api=<tweepy.api.API object at 0x1122451d0>, id='84f644e036f3dcb0', url='https://api.twitter.com/1.1/geo/id/84f644e036f3dcb0.json', place_type='country', name='Rwanda', full_name='Rwanda', country_code='RW', country='Rwanda', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x1122451d0>, type='Polygon', coordinates=[[[28.8617568, -2.8387274], [30.8993559, -2.8387274], [30.8993559, -1.0474785], [28.8617568, -1.0474785]]]), attributes={})",gisozi,,mtn,0.17, kbps
,[],330 kbps (☹️),['http://pbs.twimg.com/media/EUq_kqvVAAEBxCq.png'],"@kenessajr Location : Gikondo
Speed: 330 Kbps (☹️)
ISP: MTN
Network: 3G

#MyInternetSpeedRw https://t.co/9MGXKMWm4P",2020-04-03 10:26:46,,,,,0.33, kbps
Gikondo,['MTN'],3.9 mbps,['http://pbs.twimg.com/media/EUq_sFgVAAIq24z.jpg'],"@kenessajr Location: Gikondo
Speed:3.9 Mbps
ISP: MTN https://t.co/bauroA4Y6q",2020-04-03 10:26:40,"Place(_api=<tweepy.api.API object at 0x1122451d0>, id='84f644e036f3dcb0', url='https://api.twitter.com/1.1/geo/id/84f644e036f3dcb0.json', place_type='country', name='Rwanda', full_name='Rwanda', country_code='RW', country='Rwanda', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x1122451d0>, type='Polygon', coordinates=[[[28.8617568, -2.8387274], [30.8993559, -2.8387274], [30.8993559, -1.0474785], [28.8617568, -1.0474785]]]), attributes={})",gikondo,,mtn,3.9, mbps
Rwamagana ,"['MTN', '3G']",3.5 mbps,['http://pbs.twimg.com/media/EUq-MKtU8AAI532.png'],"@kenessajr Location: Rwamagana 
Speed: 3.5 Mbps
ISP: MTN 3G https://t.co/hR5kaeSUsT",2020-04-03 10:24:54,,rwamagana,3G,mtn,3.5, mbps
,,,['http://pbs.twimg.com/media/EUq8kMyUUAA4dj4.jpg'],"@kenessajr Remera
MTN https://t.co/dowvi8r884",2020-04-03 10:24:44,,,,,,
,,,['http://pbs.twimg.com/media/EUq7L7SUcAA27tr.jpg'],@kenessajr Should add the package they are utilizing for example Airtel 3G,2020-04-03 10:23:09,,,,,,
Nyakabanda,[],1.1 mbps,,"@kenessajr location: Nyakabanda
Speed: 1.1 Mbps
ISP: Mtn

#MyInternetSpeedRw https://t.co/HUbhQu3z6B",2020-04-03 10:20:53,,nyakabanda,,,1.1, mbps
,['Airtel'],9.9 mbps,,"@kenessajr Location : Remera
Speed: 9.9 Mbps
ISP: Airtel https://t.co/iaFa9YZ32g",2020-04-03 10:20:15,,,,airtel,9.9, mbps
Mumena,"['Mango', 'Telecom']",8.5 mbps,,"@kenessajr Location: Mumena
Speed: 8.5 Mbps
ISP: Mango Telecom https://t.co/EhQJQpg07S",2020-04-03 10:19:23,,mumena,,mango,8.5, mbps
Gikondo,['MTN'],7.2 mbps,,"@kenessajr Location: Gikondo
Speed: 7.2 Mbps
iSP: MTN https://t.co/dX4OusbHOq",2020-04-03 10:18:33,,gikondo,,mtn,7.2, mbps
Kimisagara,['Airtel'],1.2 mbps,,"@kenessajr Location: Kimisagara
Speed: 1.2 Mbps
ISP: Airtel https://t.co/zL4AsiDNrw",2020-04-03 10:11:58,,kimisagara,,airtel,1.2, mbps
Gisozi,"['CB', 'Net']",34 mbps,,"@kenessajr Location: Gisozi
Speed: 34 Mbps
ISP: CB Net https://t.co/L5XMwmjper",2020-04-03 10:04:00,,gisozi,,CbNet,34.0, mbps
Kimironko,[],4.6 mbps,,"#Rwot let's do this. Share your current speed, location and your ISP on this thread.

Location: Kimironko
Speed: 4.6 Mbps
ISP: Airtel

#MyInternetSpeedRw https://t.co/x9bphOEQTh",2020-04-03 09:58:17,,kimironko,,,4.6, mbps
